"scenario_id","scenario_label","scenario_family","method_id","claim_regime","adjustment_method","allocation_strategy","alpha","N","truth_delta_AB_minus_A","truth_delta_AB_minus_B","plan_delta_AB_minus_A","plan_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","allocation_A","allocation_B","allocation_AB","n_A","n_B","n_AB","planned_analytic_joint_success"
"global_null__alpha_0p025","global_null","global_null","equal_iut_full","full_contribution","iut","equal",0.025,240,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"global_null__alpha_0p025","global_null","global_null","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,240,0,0,0.45,0.45,0,0,0.292893,0.292893,0.414214,70,70,100,0.710662
"global_null__alpha_0p025","global_null","global_null","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,240,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"global_null__alpha_0p025","global_null","global_null","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,240,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"global_null__alpha_0p025","global_null","global_null","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,240,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"global_null__alpha_0p025","global_null","global_null","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,240,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.603361
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","equal_iut_full","full_contribution","iut","equal",0.025,240,0,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,240,0,0.45,0.45,0.45,0,0,0.292893,0.292893,0.414214,70,70,100,0.710662
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,240,0,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,240,0,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,240,0,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,240,0,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.603361
"partial_null_AB_minus_B__alpha_0p025","partial_null_AB_minus_B","partial_null","equal_iut_full","full_contribution","iut","equal",0.025,240,0.45,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"partial_null_AB_minus_B__alpha_0p025","partial_null_AB_minus_B","partial_null","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,240,0.45,0,0.45,0.45,0,0,0.292893,0.292893,0.414214,70,70,100,0.710662
"partial_null_AB_minus_B__alpha_0p025","partial_null_AB_minus_B","partial_null","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,240,0.45,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"partial_null_AB_minus_B__alpha_0p025","partial_null_AB_minus_B","partial_null","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,240,0.45,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"partial_null_AB_minus_B__alpha_0p025","partial_null_AB_minus_B","partial_null","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,240,0.45,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"partial_null_AB_minus_B__alpha_0p025","partial_null_AB_minus_B","partial_null","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,240,0.45,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.603361
"balanced_positive__alpha_0p025","balanced_positive","alternative","equal_iut_full","full_contribution","iut","equal",0.025,240,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"balanced_positive__alpha_0p025","balanced_positive","alternative","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,240,0.45,0.45,0.45,0.45,0,0,0.292893,0.292893,0.414214,70,70,100,0.710662
"balanced_positive__alpha_0p025","balanced_positive","alternative","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,240,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"balanced_positive__alpha_0p025","balanced_positive","alternative","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,240,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"balanced_positive__alpha_0p025","balanced_positive","alternative","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,240,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.704031
"balanced_positive__alpha_0p025","balanced_positive","alternative","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,240,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.603361
"limiting_AB_minus_A__alpha_0p025","limiting_AB_minus_A","alternative","equal_iut_full","full_contribution","iut","equal",0.025,260,0.28,0.55,0.28,0.55,0,0,0.333333,0.333333,0.333333,87,87,86,0.44821
"limiting_AB_minus_A__alpha_0p025","limiting_AB_minus_A","alternative","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,260,0.28,0.55,0.28,0.55,0,0,0.292893,0.292893,0.414214,76,76,108,0.457813
"limiting_AB_minus_A__alpha_0p025","limiting_AB_minus_A","alternative","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,260,0.28,0.55,0.28,0.55,0,0,0.39677,0.201108,0.402121,103,52,105,0.499475
"limiting_AB_minus_A__alpha_0p025","limiting_AB_minus_A","alternative","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,260,0.28,0.55,0.28,0.55,0,0,0.36603,0.270401,0.363569,95,70,95,0.478501
"limiting_AB_minus_A__alpha_0p025","limiting_AB_minus_A","alternative","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,260,0.28,0.55,0.28,0.55,0,0,0.403847,0.192305,0.403847,105,50,105,0.500391
"limiting_AB_minus_A__alpha_0p025","limiting_AB_minus_A","alternative","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,260,0.28,0.55,0.28,0.55,0,0,0.333333,0.333333,0.333333,87,87,86,0.34992
"limiting_AB_minus_B__alpha_0p025","limiting_AB_minus_B","alternative","equal_iut_full","full_contribution","iut","equal",0.025,260,0.55,0.28,0.55,0.28,0,0,0.333333,0.333333,0.333333,87,87,86,0.44821
"limiting_AB_minus_B__alpha_0p025","limiting_AB_minus_B","alternative","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,260,0.55,0.28,0.55,0.28,0,0,0.292893,0.292893,0.414214,76,76,108,0.457813
"limiting_AB_minus_B__alpha_0p025","limiting_AB_minus_B","alternative","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,260,0.55,0.28,0.55,0.28,0,0,0.201108,0.39677,0.402121,52,103,105,0.499475
"limiting_AB_minus_B__alpha_0p025","limiting_AB_minus_B","alternative","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,260,0.55,0.28,0.55,0.28,0,0,0.270401,0.36603,0.363569,70,95,95,0.478501
"limiting_AB_minus_B__alpha_0p025","limiting_AB_minus_B","alternative","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,260,0.55,0.28,0.55,0.28,0,0,0.192305,0.403847,0.403847,50,105,105,0.500391
"limiting_AB_minus_B__alpha_0p025","limiting_AB_minus_B","alternative","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,260,0.55,0.28,0.55,0.28,0,0,0.333333,0.333333,0.333333,87,87,86,0.34992
"positive_margin__alpha_0p025","positive_margin","margin_sensitivity","equal_iut_full","full_contribution","iut","equal",0.025,280,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,94,93,93,0.782826
"positive_margin__alpha_0p025","positive_margin","margin_sensitivity","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,280,0.55,0.55,0.55,0.55,0.1,0.1,0.292893,0.292893,0.414214,82,82,116,0.791032
"positive_margin__alpha_0p025","positive_margin","margin_sensitivity","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,280,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,94,93,93,0.782826
"positive_margin__alpha_0p025","positive_margin","margin_sensitivity","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,280,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,94,93,93,0.782826
"positive_margin__alpha_0p025","positive_margin","margin_sensitivity","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,280,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,94,93,93,0.782826
"positive_margin__alpha_0p025","positive_margin","margin_sensitivity","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,280,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,94,93,93,0.694592
"unequal_variance_positive__alpha_0p025","unequal_variance_positive","variance_sensitivity","equal_iut_full","full_contribution","iut","equal",0.025,270,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,90,90,90,0.706423
"unequal_variance_positive__alpha_0p025","unequal_variance_positive","variance_sensitivity","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,270,0.45,0.45,0.45,0.45,0,0,0.292893,0.292893,0.414214,79,79,112,0.697813
"unequal_variance_positive__alpha_0p025","unequal_variance_positive","variance_sensitivity","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,270,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,90,90,90,0.706423
"unequal_variance_positive__alpha_0p025","unequal_variance_positive","variance_sensitivity","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,270,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,90,90,90,0.706423
"unequal_variance_positive__alpha_0p025","unequal_variance_positive","variance_sensitivity","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,270,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,90,90,90,0.706423
"unequal_variance_positive__alpha_0p025","unequal_variance_positive","variance_sensitivity","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,270,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,90,90,90,0.600648
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","equal_iut_full","full_contribution","iut","equal",0.025,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.8158
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,300,0,0,0.45,0.45,0,0,0.292893,0.292893,0.414214,88,88,124,0.823807
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.8158
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.8158
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.8158
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.73461
"overoptimistic_planning__alpha_0p025","overoptimistic_planning","effect_misspecification","equal_iut_full","full_contribution","iut","equal",0.025,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.888537
"overoptimistic_planning__alpha_0p025","overoptimistic_planning","effect_misspecification","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,240,0.32,0.32,0.55,0.55,0,0,0.292893,0.292893,0.414214,70,70,100,0.895639
"overoptimistic_planning__alpha_0p025","overoptimistic_planning","effect_misspecification","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.888537
"overoptimistic_planning__alpha_0p025","overoptimistic_planning","effect_misspecification","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.888537
"overoptimistic_planning__alpha_0p025","overoptimistic_planning","effect_misspecification","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.888537
"overoptimistic_planning__alpha_0p025","overoptimistic_planning","effect_misspecification","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.828264
"reversed_limiting_component__alpha_0p025","reversed_limiting_component","allocation_fragility","equal_iut_full","full_contribution","iut","equal",0.025,260,0.25,0.55,0.55,0.25,0,0,0.333333,0.333333,0.333333,87,87,86,0.373035
"reversed_limiting_component__alpha_0p025","reversed_limiting_component","allocation_fragility","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,260,0.25,0.55,0.55,0.25,0,0,0.292893,0.292893,0.414214,76,76,108,0.381363
"reversed_limiting_component__alpha_0p025","reversed_limiting_component","allocation_fragility","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,260,0.25,0.55,0.55,0.25,0,0,0.21446,0.391672,0.393868,56,102,102,0.416894
"reversed_limiting_component__alpha_0p025","reversed_limiting_component","allocation_fragility","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,260,0.25,0.55,0.55,0.25,0,0,0.287045,0.357952,0.355004,75,93,92,0.392417
"reversed_limiting_component__alpha_0p025","reversed_limiting_component","allocation_fragility","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,260,0.25,0.55,0.55,0.25,0,0,0.207724,0.396138,0.396138,54,103,103,0.418622
"reversed_limiting_component__alpha_0p025","reversed_limiting_component","allocation_fragility","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,260,0.25,0.55,0.55,0.25,0,0,0.333333,0.333333,0.333333,87,87,86,0.281538
"additive_positive_excess__alpha_0p025","additive_positive_excess","synergy_motivation","equal_iut_full","full_contribution","iut","equal",0.025,320,0.35,0.3,0.35,0.3,0,0,0.333333,0.333333,0.333333,107,107,106,0.497221
"additive_positive_excess__alpha_0p025","additive_positive_excess","synergy_motivation","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,320,0.35,0.3,0.35,0.3,0,0,0.292893,0.292893,0.414214,94,94,132,0.500012
"additive_positive_excess__alpha_0p025","additive_positive_excess","synergy_motivation","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,320,0.35,0.3,0.35,0.3,0,0,0.278742,0.332684,0.388573,89,107,124,0.504399
"additive_positive_excess__alpha_0p025","additive_positive_excess","synergy_motivation","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,320,0.35,0.3,0.35,0.3,0,0,0.313311,0.347722,0.338967,100,111,109,0.500899
"additive_positive_excess__alpha_0p025","additive_positive_excess","synergy_motivation","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,320,0.35,0.3,0.35,0.3,0,0,0.213675,0.38787,0.398455,68,124,128,0.487237
