scenario_label,scenario_family,method_id,claim_regime,allocation_strategy,alpha,N,nrep,truth_delta_AB_minus_A,truth_delta_AB_minus_B,plan_delta_AB_minus_A,plan_delta_AB_minus_B,margin_AB_minus_A,margin_AB_minus_B,allocation_A,allocation_B,allocation_AB,empirical_joint_success,empirical_joint_success_lcl,empirical_joint_success_ucl,analytic_joint_success,planned_analytic_joint_success,empirical_marginal_power_AB_minus_A,empirical_marginal_power_AB_minus_B
balanced_positive,alternative,equal_iut_full,full_contribution,equal,0.025,240,50000,0.45,0.45,0.45,0.45,0,0,0.333,0.333,0.333,0.705,0.701,0.709,0.704,0.704,0.812,0.811
balanced_positive,alternative,shared_arm_iut_full,full_contribution,shared_arm_benchmark,0.025,240,50000,0.45,0.45,0.45,0.45,0,0,0.293,0.293,0.414,0.712,0.708,0.716,0.711,0.711,0.826,0.821
balanced_positive,alternative,plugin_iut_full,full_contribution,plugin_joint_success,0.025,240,50000,0.45,0.45,0.45,0.45,0,0,0.333,0.333,0.333,0.703,0.699,0.707,0.704,0.704,0.812,0.811
balanced_positive,alternative,conservative_iut_full,full_contribution,conservative_joint_success,0.025,240,50000,0.45,0.45,0.45,0.45,0,0,0.333,0.333,0.333,0.706,0.702,0.71,0.704,0.704,0.813,0.815
balanced_positive,alternative,marginal_iut_full,full_contribution,marginal_power_comparator,0.025,240,50000,0.45,0.45,0.45,0.45,0,0,0.333,0.333,0.333,0.701,0.697,0.705,0.704,0.704,0.81,0.811
balanced_positive,alternative,equal_maxT_separate,separate_component_claims,equal,0.025,240,50000,0.45,0.45,0.45,0.45,0,0,0.333,0.333,0.333,0.609,0.605,0.613,0.603,0.603,0.74,0.74
limiting_AB_minus_A,alternative,equal_iut_full,full_contribution,equal,0.025,260,50000,0.28,0.55,0.28,0.55,0,0,0.333,0.333,0.333,0.452,0.448,0.456,0.448,0.448,0.456,0.952
limiting_AB_minus_A,alternative,shared_arm_iut_full,full_contribution,shared_arm_benchmark,0.025,260,50000,0.28,0.55,0.28,0.55,0,0,0.293,0.293,0.414,0.457,0.452,0.461,0.458,0.458,0.463,0.957
limiting_AB_minus_A,alternative,plugin_iut_full,full_contribution,plugin_joint_success,0.025,260,50000,0.28,0.55,0.28,0.55,0,0,0.397,0.201,0.402,0.503,0.499,0.507,0.499,0.499,0.527,0.9
limiting_AB_minus_A,alternative,conservative_iut_full,full_contribution,conservative_joint_success,0.025,260,50000,0.28,0.55,0.28,0.55,0,0,0.366,0.27,0.364,0.477,0.473,0.481,0.479,0.479,0.487,0.937
limiting_AB_minus_A,alternative,marginal_iut_full,full_contribution,marginal_power_comparator,0.025,260,50000,0.28,0.55,0.28,0.55,0,0,0.404,0.192,0.404,0.505,0.5,0.509,0.5,0.5,0.53,0.894
limiting_AB_minus_A,alternative,equal_maxT_separate,separate_component_claims,equal,0.025,260,50000,0.28,0.55,0.28,0.55,0,0,0.333,0.333,0.333,0.354,0.35,0.358,0.35,0.35,0.36,0.919
limiting_AB_minus_B,alternative,equal_iut_full,full_contribution,equal,0.025,260,50000,0.55,0.28,0.55,0.28,0,0,0.333,0.333,0.333,0.45,0.445,0.454,0.448,0.448,0.951,0.454
limiting_AB_minus_B,alternative,shared_arm_iut_full,full_contribution,shared_arm_benchmark,0.025,260,50000,0.55,0.28,0.55,0.28,0,0,0.293,0.293,0.414,0.459,0.455,0.464,0.458,0.458,0.957,0.466
limiting_AB_minus_B,alternative,plugin_iut_full,full_contribution,plugin_joint_success,0.025,260,50000,0.55,0.28,0.55,0.28,0,0,0.201,0.397,0.402,0.498,0.494,0.502,0.499,0.499,0.9,0.522
limiting_AB_minus_B,alternative,conservative_iut_full,full_contribution,conservative_joint_success,0.025,260,50000,0.55,0.28,0.55,0.28,0,0,0.27,0.366,0.364,0.479,0.474,0.483,0.479,0.479,0.937,0.488
limiting_AB_minus_B,alternative,marginal_iut_full,full_contribution,marginal_power_comparator,0.025,260,50000,0.55,0.28,0.55,0.28,0,0,0.192,0.404,0.404,0.502,0.497,0.506,0.5,0.5,0.892,0.529
limiting_AB_minus_B,alternative,equal_maxT_separate,separate_component_claims,equal,0.025,260,50000,0.55,0.28,0.55,0.28,0,0,0.333,0.333,0.333,0.352,0.348,0.356,0.35,0.35,0.919,0.358
positive_margin,margin_sensitivity,equal_iut_full,full_contribution,equal,0.025,280,50000,0.55,0.55,0.55,0.55,0.1,0.1,0.333,0.333,0.333,0.781,0.777,0.784,0.783,0.783,0.868,0.863
positive_margin,margin_sensitivity,shared_arm_iut_full,full_contribution,shared_arm_benchmark,0.025,280,50000,0.55,0.55,0.55,0.55,0.1,0.1,0.293,0.293,0.414,0.791,0.787,0.794,0.791,0.791,0.877,0.876
positive_margin,margin_sensitivity,plugin_iut_full,full_contribution,plugin_joint_success,0.025,280,50000,0.55,0.55,0.55,0.55,0.1,0.1,0.333,0.333,0.333,0.783,0.779,0.786,0.783,0.783,0.868,0.866
positive_margin,margin_sensitivity,conservative_iut_full,full_contribution,conservative_joint_success,0.025,280,50000,0.55,0.55,0.55,0.55,0.1,0.1,0.333,0.333,0.333,0.785,0.781,0.788,0.783,0.783,0.869,0.868
positive_margin,margin_sensitivity,marginal_iut_full,full_contribution,marginal_power_comparator,0.025,280,50000,0.55,0.55,0.55,0.55,0.1,0.1,0.333,0.333,0.333,0.779,0.776,0.783,0.783,0.783,0.866,0.863
positive_margin,margin_sensitivity,equal_maxT_separate,separate_component_claims,equal,0.025,280,50000,0.55,0.55,0.55,0.55,0.1,0.1,0.333,0.333,0.333,0.692,0.688,0.696,0.695,0.695,0.8,0.804
unequal_variance_positive,variance_sensitivity,equal_iut_full,full_contribution,equal,0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333,0.333,0.333,0.702,0.698,0.706,0.706,0.706,0.802,0.836
unequal_variance_positive,variance_sensitivity,shared_arm_iut_full,full_contribution,shared_arm_benchmark,0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.293,0.293,0.414,0.699,0.695,0.703,0.698,0.698,0.804,0.837
unequal_variance_positive,variance_sensitivity,plugin_iut_full,full_contribution,plugin_joint_success,0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333,0.333,0.333,0.704,0.7,0.708,0.706,0.706,0.805,0.835
unequal_variance_positive,variance_sensitivity,conservative_iut_full,full_contribution,conservative_joint_success,0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333,0.333,0.333,0.705,0.701,0.709,0.706,0.706,0.804,0.836
unequal_variance_positive,variance_sensitivity,marginal_iut_full,full_contribution,marginal_power_comparator,0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333,0.333,0.333,0.703,0.699,0.707,0.706,0.706,0.801,0.835
unequal_variance_positive,variance_sensitivity,equal_maxT_separate,separate_component_claims,equal,0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333,0.333,0.333,0.601,0.597,0.605,0.601,0.601,0.724,0.764
overoptimistic_planning,effect_misspecification,equal_iut_full,full_contribution,equal,0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.333,0.333,0.333,0.363,0.359,0.367,0.359,0.889,0.528,0.532
overoptimistic_planning,effect_misspecification,shared_arm_iut_full,full_contribution,shared_arm_benchmark,0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.293,0.293,0.414,0.356,0.352,0.36,0.356,0.896,0.537,0.537
overoptimistic_planning,effect_misspecification,plugin_iut_full,full_contribution,plugin_joint_success,0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.333,0.333,0.333,0.362,0.358,0.366,0.359,0.889,0.527,0.523
overoptimistic_planning,effect_misspecification,conservative_iut_full,full_contribution,conservative_joint_success,0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.333,0.333,0.333,0.359,0.355,0.363,0.359,0.889,0.523,0.527
overoptimistic_planning,effect_misspecification,marginal_iut_full,full_contribution,marginal_power_comparator,0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.333,0.333,0.333,0.362,0.358,0.366,0.359,0.889,0.528,0.527
overoptimistic_planning,effect_misspecification,equal_maxT_separate,separate_component_claims,equal,0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.333,0.333,0.333,0.266,0.262,0.27,0.262,0.828,0.427,0.428
reversed_limiting_component,allocation_fragility,equal_iut_full,full_contribution,equal,0.025,260,50000,0.25,0.55,0.55,0.25,0,0,0.333,0.333,0.333,0.375,0.371,0.38,0.373,0.373,0.378,0.949
reversed_limiting_component,allocation_fragility,shared_arm_iut_full,full_contribution,shared_arm_benchmark,0.025,260,50000,0.25,0.55,0.55,0.25,0,0,0.293,0.293,0.414,0.385,0.38,0.389,0.381,0.381,0.389,0.956
reversed_limiting_component,allocation_fragility,plugin_iut_full,full_contribution,plugin_joint_success,0.025,260,50000,0.25,0.55,0.55,0.25,0,0,0.214,0.392,0.394,0.326,0.321,0.33,0.322,0.417,0.327,0.975
reversed_limiting_component,allocation_fragility,conservative_iut_full,full_contribution,conservative_joint_success,0.025,260,50000,0.25,0.55,0.55,0.25,0,0,0.287,0.358,0.355,0.364,0.36,0.369,0.36,0.392,0.367,0.962
reversed_limiting_component,allocation_fragility,marginal_iut_full,full_contribution,marginal_power_comparator,0.025,260,50000,0.25,0.55,0.55,0.25,0,0,0.208,0.396,0.396,0.318,0.314,0.322,0.317,0.419,0.32,0.976
reversed_limiting_component,allocation_fragility,equal_maxT_separate,separate_component_claims,equal,0.025,260,50000,0.25,0.55,0.55,0.25,0,0,0.333,0.333,0.333,0.283,0.279,0.287,0.282,0.282,0.286,0.918
additive_positive_excess,synergy_motivation,equal_iut_full,full_contribution,equal,0.025,320,50000,0.35,0.3,0.35,0.3,0,0,0.333,0.333,0.333,0.505,0.501,0.51,0.497,0.497,0.73,0.598
additive_positive_excess,synergy_motivation,shared_arm_iut_full,full_contribution,shared_arm_benchmark,0.025,320,50000,0.35,0.3,0.35,0.3,0,0,0.293,0.293,0.414,0.505,0.501,0.51,0.5,0.5,0.739,0.608
additive_positive_excess,synergy_motivation,plugin_iut_full,full_contribution,plugin_joint_success,0.025,320,50000,0.35,0.3,0.35,0.3,0,0,0.279,0.333,0.389,0.503,0.499,0.508,0.504,0.504,0.71,0.622
additive_positive_excess,synergy_motivation,conservative_iut_full,full_contribution,conservative_joint_success,0.025,320,50000,0.35,0.3,0.35,0.3,0,0,0.313,0.348,0.339,0.502,0.498,0.506,0.501,0.501,0.716,0.604
additive_positive_excess,synergy_motivation,marginal_iut_full,full_contribution,marginal_power_comparator,0.025,320,50000,0.35,0.3,0.35,0.3,0,0,0.214,0.388,0.398,0.49,0.485,0.494,0.487,0.487,0.646,0.664
additive_positive_excess,synergy_motivation,equal_maxT_separate,separate_component_claims,equal,0.025,320,50000,0.35,0.3,0.35,0.3,0,0,0.333,0.333,0.333,0.394,0.39,0.399,0.39,0.39,0.635,0.494
